promo_id,product_id,campaign_name,discount_pct,start_date,end_date,channel
PROMO0001,P149,Season Clearance,44.0,2025-10-13,2025-10-18,Both
PROMO0002,P060,Season Clearance,25.0,2025-12-03,2025-12-06,Both
PROMO0003,P022,Buy More Save More,16.0,2025-11-15,2025-11-24,In-Store
PROMO0004,P176,Eid Special,34.0,2024-01-02,2024-01-12,In-Store
PROMO0005,P134,Anniversary Discount,44.0,2025-02-21,2025-02-27,In-Store
PROMO0006,P006,Anniversary Discount,21.0,2025-03-18,2025-03-26,Online
PROMO0007,P130,Anniversary Discount,37.0,2024-10-25,2024-11-02,In-Store
PROMO0008,P045,Season Clearance,15.0,2025-03-19,2025-04-02,In-Store
PROMO0009,P100,Festive Combo Offer,36.0,2024-10-15,2024-10-29,Online
PROMO0010,P123,Eid Special,33.0,2025-01-28,2025-02-07,Online
PROMO0011,P052,Anniversary Discount,38.0,2025-03-11,2025-03-17,In-Store
PROMO0012,P032,New Year Sale,,2025-04-16,2025-04-30,In-Store
PROMO0013,P110,New Year Sale,41.0,2025-03-11,2025-03-21,Both
PROMO0014,P149,Buy More Save More,20.0,2024-12-31,2025-01-10,In-Store
PROMO0015,P077,Anniversary Discount,38.0,2024-12-26,2024-12-29,In-Store
PROMO0016,P146,Festive Combo Offer,30.0,2024-10-18,2024-10-29,Both
PROMO0017,P036,Weekend Flash Deal,37.0,2025-02-23,2025-03-02,In-Store
PROMO0018,P135,Weekend Flash Deal,19.0,2025-06-17,2025-06-21,In-Store
PROMO0019,P052,Weekend Flash Deal,31.0,2024-04-01,2024-04-14,Both
PROMO0020,P002,Eid Special,33.0,2024-06-12,2024-06-17,In-Store
PROMO0021,P053,Festive Combo Offer,24.0,2025-10-28,2025-11-07,Online
PROMO0022,P042,New Year Sale,36.0,2024-09-17,2024-09-28,In-Store
PROMO0023,P075,Weekend Flash Deal,23.0,2024-11-23,2024-12-01,In-Store
PROMO0024,P121,New Year Sale,18.0,2025-04-17,2025-04-26,In-Store
PROMO0025,P016,Eid Special,35.0,2025-01-01,2025-01-12,Online
PROMO0026,P108,Weekend Flash Deal,21.0,2024-01-30,2024-02-12,Both
PROMO0027,P139,Weekend Flash Deal,29.0,2024-11-03,2024-11-17,Online
PROMO0028,P071,Festive Combo Offer,27.0,2024-11-06,2024-11-16,In-Store
PROMO0029,P011,Anniversary Discount,42.0,2024-12-14,2024-12-21,Both
PROMO0030,P060,Season Clearance,21.0,2024-02-24,2024-02-29,In-Store
PROMO0031,P051,Weekend Flash Deal,,2024-03-29,2024-04-07,In-Store
PROMO0032,P101,Festive Combo Offer,18.0,2025-04-24,2025-05-04,Online
PROMO0033,P172,Buy More Save More,36.0,2024-12-17,2024-12-21,In-Store
PROMO0034,P052,Festive Combo Offer,37.0,2025-05-17,2025-05-23,Online
PROMO0035,P074,Weekend Flash Deal,40.0,2024-06-26,2024-07-02,Online
PROMO0036,P003,Buy More Save More,15.0,2024-08-03,2024-08-10,In-Store
PROMO0037,P158,Anniversary Discount,36.0,2024-12-26,2025-01-08,Online
PROMO0038,P046,Anniversary Discount,34.0,2024-10-03,2024-10-14,Online
PROMO0039,P110,Anniversary Discount,43.0,2024-02-26,2024-03-04,In-Store
PROMO0040,P138,Buy More Save More,32.0,2025-03-23,2025-04-05,Both
PROMO0041,P065,Festive Combo Offer,19.0,2024-03-08,2024-03-12,In-Store
PROMO0042,P075,Boishakh Bonanza,34.0,2024-11-24,2024-11-29,In-Store
PROMO0043,P066,Buy More Save More,41.0,2025-12-13,2025-12-26,In-Store
PROMO0044,P118,Eid Special,29.0,2025-03-01,2025-03-04,In-Store
PROMO0045,P025,Festive Combo Offer,31.0,2024-10-13,2024-10-25,Both
PROMO0046,P107,New Year Sale,34.0,2025-09-01,2025-09-14,Both
PROMO0047,P171,Anniversary Discount,,2025-09-02,2025-09-05,In-Store
PROMO0048,P040,Eid Special,22.0,2025-08-20,2025-08-31,In-Store
PROMO0049,P150,Buy More Save More,10.0,2025-08-31,2025-09-11,In-Store
PROMO0050,P069,Festive Combo Offer,,2024-02-02,2024-02-09,Online
PROMO0051,P159,Weekend Flash Deal,17.0,2025-09-20,2025-09-23,Both
PROMO0052,P012,Weekend Flash Deal,37.0,2024-03-26,2024-03-30,Online
PROMO0053,P061,Anniversary Discount,34.0,2025-06-13,2025-06-18,Both
PROMO0054,P016,Anniversary Discount,,2024-12-09,2024-12-12,Online
PROMO0055,P042,Festive Combo Offer,37.0,2025-01-16,2025-01-28,In-Store
PROMO0056,P002,Anniversary Discount,38.0,2025-08-16,2025-08-27,Online
PROMO0057,P010,Buy More Save More,43.0,2025-04-12,2025-04-24,Online
PROMO0058,P054,Eid Special,34.0,2024-10-21,2024-11-01,Both
PROMO0059,P125,Eid Special,23.0,2025-11-07,2025-11-18,Both
PROMO0060,P163,Season Clearance,22.0,2025-10-09,2025-10-16,In-Store
PROMO0061,P054,Weekend Flash Deal,,2025-08-17,2025-08-31,In-Store
PROMO0062,P093,Anniversary Discount,43.0,2024-12-06,2024-12-15,Online
PROMO0063,P027,New Year Sale,19.0,2024-09-25,2024-10-02,In-Store
PROMO0064,P111,Boishakh Bonanza,43.0,2025-02-28,2025-03-13,In-Store
