po_id,supplier_id,product_id,warehouse_id,order_date,expected_delivery_date,actual_delivery_date,order_qty,unit_cost,qty_received,qty_rejected,rejection_reason,po_status,calculated_total,mismatch,qty_mismatch_flag
PO000001,S006,P001,W01,2024-10-07,2024-10-15,2024-10-20,423,243.92,417,6.0,Wrong Specification,Delayed,423.0,False,False
PO000002,S006,P001,W01,2024-10-15,2024-10-23,2024-10-23,362,243.92,352,10.0,Damaged In Transit,Delivered,362.0,False,False
PO000003,S006,P001,W01,2024-10-23,2024-10-31,2024-10-31,319,243.92,311,8.0,Damaged In Transit,Delivered,319.0,False,False
PO000004,S006,P001,W01,2024-11-04,2024-11-12,2024-11-13,362,243.92,355,7.0,Quality Defect,Delayed,362.0,False,False
PO000005,S006,P001,W01,2024-11-12,2024-11-20,2024-11-20,535,243.92,528,7.0,Quality Defect,Delivered,535.0,False,False
PO000006,S006,P001,W01,2024-11-22,2024-11-30,2024-11-30,447,243.92,438,9.0,Expired/Near-Expiry,Delivered,447.0,False,False
PO000007,S006,P001,W01,2024-12-04,2024-12-12,2024-12-12,139,243.92,135,4.0,Quality Defect,Delivered,139.0,False,False
PO000008,S006,P001,W01,2024-12-12,2024-12-20,2024-12-20,519,243.92,509,,Quality Defect,Delivered,,True,True
PO000009,S006,P001,W01,2024-12-25,2025-01-02,2025-01-03,381,243.92,376,5.0,Quality Defect,Delayed,381.0,False,False
PO000010,S006,P001,W01,2025-01-02,2025-01-10,2025-01-13,674,243.92,661,13.0,Quality Defect,Delayed,674.0,False,False
PO000011,S006,P001,W01,2025-01-10,2025-01-18,2025-01-20,342,243.92,323,19.0,Wrong Specification,Partial,342.0,False,False
PO000012,S006,P001,W01,2025-01-19,2025-01-27,2025-01-27,518,243.92,508,10.0,Wrong Specification,Delivered,518.0,False,False
PO000013,S006,P001,W01,2025-01-27,2025-02-04,2025-02-05,362,243.92,360,2.0,Damaged In Transit,Delayed,362.0,False,False
PO000014,S006,P001,W01,2025-02-06,2025-02-19,2025-02-19,314,243.92,308,6.0,Damaged In Transit,Delivered,314.0,False,False
PO000015,S006,P001,W01,2025-02-19,2025-02-27,2025-02-27,443,243.92,435,8.0,Damaged In Transit,Delivered,443.0,False,False
PO000016,S006,P001,W01,2025-03-02,2025-03-10,2025-03-10,340,243.92,339,1.0,Wrong Specification,Delivered,340.0,False,False
PO000017,S006,P001,W01,2025-03-12,2025-03-20,2025-03-21,497,243.92,484,13.0,Expired/Near-Expiry,Delayed,497.0,False,False
PO000018,S006,P001,W01,2025-03-20,2025-03-28,2025-03-28,280,243.92,273,7.0,Wrong Specification,Delivered,280.0,False,False
PO000019,S006,P001,W01,2025-04-01,2025-04-09,2025-04-09,418,243.92,411,7.0,Quality Defect,Delivered,418.0,False,False
PO000020,S006,P001,W01,2025-04-11,2025-04-19,2025-04-20,363,243.92,356,7.0,Quality Defect,Delayed,363.0,False,False
PO000021,S006,P001,W01,2025-04-18,2025-04-26,2025-04-27,598,243.92,585,13.0,Expired/Near-Expiry,Delayed,598.0,False,False
PO000022,S006,P001,W01,2025-05-01,2025-05-09,2025-05-09,371,243.92,362,9.0,Quality Defect,Delivered,371.0,False,False
PO000023,S006,P001,W01,2025-05-12,2025-05-20,2025-05-20,197,243.92,194,3.0,Damaged In Transit,Delivered,197.0,False,False
PO000024,S006,P001,W01,2025-05-22,2025-05-30,2025-05-30,365,243.92,353,12.0,Damaged In Transit,Delivered,365.0,False,False
PO000025,S006,P001,W01,2025-06-01,2025-06-09,2025-06-10,357,243.92,353,4.0,Damaged In Transit,Delayed,357.0,False,False
PO000026,S006,P001,W01,2025-06-12,2025-06-20,2025-06-20,437,243.92,429,8.0,Damaged In Transit,Delivered,437.0,False,False
PO000027,S006,P001,W01,2025-06-20,2025-06-28,2025-06-28,335,243.92,327,8.0,Quality Defect,Delivered,335.0,False,False
PO000028,S006,P001,W01,2025-06-27,2025-07-05,2025-07-10,488,243.92,483,5.0,Expired/Near-Expiry,Delayed,488.0,False,False
PO000029,S006,P001,W01,2025-07-05,2025-07-13,2025-07-14,441,243.92,429,12.0,Damaged In Transit,Delayed,441.0,False,False
PO000030,S006,P001,W01,2025-07-13,2025-07-21,2025-07-25,419,243.92,412,7.0,Damaged In Transit,Delayed,419.0,False,False
PO000031,S006,P001,W01,2025-07-20,2025-07-28,2025-07-28,332,243.92,326,6.0,Quality Defect,Delivered,332.0,False,False
PO000032,S006,P001,W01,2025-07-28,2025-08-05,2025-08-06,389,243.92,378,11.0,Quality Defect,Delayed,389.0,False,False
PO000033,S006,P001,W01,2025-08-09,2025-08-17,2025-08-17,375,243.92,371,4.0,Wrong Specification,Delivered,375.0,False,False
PO000034,S006,P001,W01,2025-08-22,2025-09-03,2025-09-03,426,243.92,417,9.0,Damaged In Transit,Delivered,426.0,False,False
PO000035,S006,P001,W01,2025-08-30,2025-09-07,2025-09-07,315,243.92,308,7.0,Wrong Specification,Delivered,315.0,False,False
PO000036,S006,P001,W01,2025-09-06,2025-09-14,2025-09-14,335,243.92,331,4.0,Damaged In Transit,Delivered,335.0,False,False
PO000037,S006,P001,W01,2025-09-17,2025-09-25,2025-09-25,407,243.92,401,6.0,Quality Defect,Delivered,407.0,False,False
PO000038,S006,P001,W01,2025-09-29,2025-10-07,2025-10-08,529,243.92,514,15.0,Wrong Specification,Delayed,529.0,False,False
PO000039,S006,P001,W01,2025-10-12,2025-10-20,2025-10-21,484,243.92,479,5.0,Quality Defect,Delayed,484.0,False,False
PO000040,S006,P001,W01,2025-10-19,2025-10-27,2025-10-27,380,243.92,375,5.0,Quality Defect,Delivered,380.0,False,False
PO000041,S006,P001,W01,2025-10-31,2025-11-08,2025-11-08,302,243.92,298,4.0,Expired/Near-Expiry,Delivered,302.0,False,False
PO000042,S006,P001,W01,2025-11-12,2025-11-20,2025-11-21,496,243.92,488,8.0,Quality Defect,Delayed,496.0,False,False
PO000043,S006,P001,W01,2025-11-22,2025-11-30,2025-12-01,454,243.92,448,,Wrong Specification,Delayed,,True,True
PO000044,S006,P001,W01,2025-12-04,2025-12-12,2025-12-12,355,243.92,353,2.0,Wrong Specification,Delivered,355.0,False,False
PO000045,S006,P001,W01,2025-12-16,2025-12-24,2025-12-25,345,243.92,341,4.0,Quality Defect,Delayed,345.0,False,False
PO000046,S006,P001,W02,2024-10-11,2024-10-19,2024-10-19,260,243.92,255,5.0,Damaged In Transit,Delivered,260.0,False,False
PO000047,S006,P001,W02,2024-10-24,2024-11-01,2024-11-01,129,243.92,126,3.0,Wrong Specification,Delivered,129.0,False,False
PO000048,S006,P001,W02,2024-11-06,2024-11-14,2024-11-14,242,243.92,241,1.0,Quality Defect,Delivered,242.0,False,False
PO000049,S006,P001,W02,2024-11-18,2024-11-26,2024-11-26,301,243.92,299,2.0,Quality Defect,Delivered,301.0,False,False
PO000050,S006,P001,W02,2024-11-29,2024-12-07,2024-12-07,411,243.92,403,8.0,Wrong Specification,Delivered,411.0,False,False
PO000051,S006,P001,W02,2024-12-09,2024-12-17,2024-12-17,507,243.92,500,7.0,Expired/Near-Expiry,Delivered,507.0,False,False
PO000052,S006,P001,W02,2024-12-18,2024-12-26,2024-12-26,185,243.92,183,2.0,Damaged In Transit,Delivered,185.0,False,False
PO000053,S006,P001,W02,2024-12-31,2025-01-08,2025-01-08,653,243.92,638,15.0,Expired/Near-Expiry,Delivered,653.0,False,False
PO000054,S006,P001,W02,2025-01-07,2025-01-15,2025-01-15,269,243.92,267,2.0,Wrong Specification,Delivered,269.0,False,False
PO000055,S006,P001,W02,2025-01-20,2025-01-28,2025-02-03,413,243.92,408,5.0,Wrong Specification,Delayed,413.0,False,False
PO000056,S006,P001,W02,2025-01-29,2025-02-06,2025-02-06,165,243.92,165,0.0,,Delivered,165.0,False,False
PO000057,S006,P001,W02,2025-02-06,2025-02-19,2025-02-19,493,243.92,485,8.0,Quality Defect,Delivered,493.0,False,False
PO000058,S006,P001,W02,2025-02-16,2025-02-24,2025-02-25,195,243.92,189,,Damaged In Transit,Delayed,,True,True
