transaction_id,transaction_date,store_id,customer_id,product_id,quantity,unit_price,discount_pct,promo_id,payment_method,total_amount
TXN0000001,2024-01-01,ST01,C01935,P022,1,170.02,0.0,,Card,170.02
TXN0000002,2024-01-01,ST01,C03344,P124,1,281.43,0.0,,Card,281.43
TXN0000003,2024-01-02,ST01,C02936,P008,4,192.67,0.0,,Mobile Banking,770.68
TXN0000004,2024-01-02,ST01,C05196,P147,2,137.52,0.0,,Card,275.04
TXN0000005,2024-01-02,ST01,C02737,P147,1,137.52,0.0,,Cash,137.52
TXN0000006,2024-01-02,ST01,C03291,P057,1,347.81,0.0,,Cash,347.81
TXN0000007,2024-01-02,ST01,C03505,P068,1,469.44,0.0,,Mobile Banking,469.44
TXN0000008,2024-01-02,ST01,C03837,P163,1,193.24,0.0,,Cash,193.24
TXN0000009,2024-01-02,ST01,C00384,P083,1,187.72,0.0,,Cash,187.72
TXN0000010,2024-01-02,ST01,C01661,P061,2,342.49,0.0,,Card,684.98
TXN0000011,2024-01-02,ST01,C02731,P006,1,304.33,0.0,,Cash,304.33
TXN0000012,2024-01-03,ST01,C00097,P132,1,534.0,0.0,,Mobile Banking,534.0
TXN0000013,2024-01-03,ST01,C05782,P075,1,72.49,0.0,,Cash,72.49
TXN0000014,2024-01-03,ST01,C00097,P045,1,204.49,0.0,,Cash,204.49
TXN0000015,2024-01-04,ST01,C05757,P049,3,261.9,0.0,,Card,785.7
TXN0000016,2024-01-04,ST01,C04074,P077,1,114.8,0.0,,Card,114.8
TXN0000017,2024-01-04,ST01,C05122,P105,1,423.24,0.0,,Mobile Banking,423.24
TXN0000018,2024-01-04,ST01,C00426,P130,1,126.01,0.0,,Mobile Banking,126.01
TXN0000019,2024-01-04,ST01,C03714,P082,2,82.6,0.0,,Cash,165.2
TXN0000020,2024-01-04,ST01,C05084,P163,1,193.24,0.0,,Card,193.24
TXN0000021,2024-01-04,ST01,C00490,P029,2,164.83,0.0,,Card,329.66
TXN0000022,2024-01-04,ST01,C03585,P109,5,377.53,0.0,,Cash,1887.65
TXN0000023,2024-01-04,ST01,C05726,P136,1,567.06,0.0,,Card,567.06
TXN0000024,2024-01-04,ST01,C00650,P022,1,170.02,0.0,,Mobile Banking,170.02
TXN0000025,2024-01-04,ST01,,P176,1,91.79,34.0,PROMO0004,Card,91.79
TXN0000026,2024-01-04,ST01,C02252,P107,1,59.47,0.0,,Mobile Banking,59.47
TXN0000027,2024-01-04,ST01,C04762,P036,1,669.34,0.0,,Card,669.34
TXN0000028,2024-01-04,ST01,C01920,P103,1,182.19,0.0,,Card,182.19
TXN0000029,2024-01-05,ST01,C03156,P172,2,253.24,0.0,,Card,506.48
TXN0000030,2024-01-05,ST01,C02092,P060,1,152.78,0.0,,Cash,152.78
TXN0000031,2024-01-05,ST01,C03404,P008,1,192.67,0.0,,Card,192.67
TXN0000032,2024-01-05,ST01,C04939,P002,1,204.15,0.0,,Card,204.15
TXN0000033,2024-01-05,ST01,C02339,P069,1,235.37,0.0,,Cash,235.37
TXN0000034,2024-01-05,ST01,C01607,P008,1,192.67,0.0,,Card,192.67
TXN0000035,2024-01-06,ST01,C04001,P062,1,270.5,0.0,,Cash,270.5
TXN0000036,2024-01-06,ST01,C03208,P103,2,182.19,0.0,,Card,364.38
TXN0000037,2024-01-06,ST01,C05501,P087,1,235.55,0.0,,Card,235.55
TXN0000038,2024-01-06,ST01,C05908,P142,2,264.38,0.0,,Card,528.76
TXN0000039,2024-01-06,ST01,C00010,P037,1,215.57,0.0,,Cash,215.57
TXN0000040,2024-01-06,ST01,C03250,P069,2,235.37,0.0,,Cash,470.74
TXN0000041,2024-01-06,ST01,,P114,2,248.05,0.0,,Card,496.1
TXN0000042,2024-01-06,ST01,C04965,P177,1,185.02,0.0,,Cash,185.02
