shipment_id,warehouse_id,store_id,carrier_id,dispatch_date,expected_arrival_date,actual_arrival_date,distance_km,shipment_cost,shipment_status,store_id_invalid_flag
SH000001,W03,ST01,CR03,2024-01-03,2024-01-04,2024-01-05,12.5,972.38,Delayed,False
SH000002,W03,ST01,CR04,2024-01-05,2024-01-06,2024-01-06,28.0,1897.51,On-time,False
SH000003,W03,ST01,CR01,2024-01-09,2024-01-10,2024-01-10,15.9,1326.74,On-time,False
SH000004,W03,ST01,CR04,2024-01-12,2024-01-13,2024-01-13,14.1,758.94,On-time,False
SH000005,W02,ST01,CR01,2024-01-16,2024-01-19,2024-01-19,417.6,23115.85,On-time,False
SH000006,W03,ST01,CR05,2024-01-19,2024-01-20,2024-01-20,25.0,1581.37,On-time,False
SH000007,W03,ST01,CR02,2024-01-22,2024-01-23,2024-01-23,22.8,1413.69,On-time,False
SH000008,W03,ST01,CR01,2024-01-25,2024-01-26,2024-01-26,8.2,716.52,On-time,False
SH000009,W03,ST01,CR02,2024-01-28,2024-01-29,2024-01-29,20.6,1603.52,On-time,False
SH000010,W03,ST01,CR01,2024-01-30,2024-01-31,2024-01-31,6.5,714.11,On-time,False
SH000011,W03,ST01,CR03,2024-02-02,2024-02-03,2024-02-03,21.8,1333.05,On-time,False
SH000012,W03,ST01,CR01,2024-02-06,2024-02-07,2024-02-07,29.6,1870.71,Lost,False
SH000013,W03,ST01,CR02,2024-02-08,2024-02-09,2024-02-10,20.6,1318.2,Damaged,False
SH000014,W03,ST01,CR03,2024-02-10,2024-02-11,2024-02-11,8.3,548.08,On-time,False
SH000015,W03,ST01,CR03,2024-02-14,2024-02-15,2024-02-15,11.1,1093.05,On-time,False
SH000016,W03,ST01,CR05,2024-02-17,2024-02-18,2024-02-18,23.1,1129.76,On-time,False
SH000017,W01,ST01,CR01,2024-02-21,2024-02-23,2024-02-23,210.3,8861.16,On-time,False
SH000018,W03,ST01,CR01,2024-02-24,2024-02-25,2024-02-25,32.4,1859.27,On-time,False
SH000019,W03,ST01,CR02,2024-02-28,2024-02-29,2024-03-02,12.0,872.25,Delayed,False
SH000020,W03,ST01,CR01,2024-03-03,2024-03-04,2024-03-04,35.0,1561.11,On-time,False
SH000021,W03,ST01,CR03,2024-03-07,2024-03-08,2024-03-08,9.7,769.3,On-time,False
SH000022,W03,ST01,CR03,2024-03-11,2024-03-12,2024-03-13,26.0,1611.46,Delayed,False
SH000023,W03,ST01,CR03,2024-03-13,2024-03-14,2024-03-18,8.8,1036.87,Delayed,False
